txn,category
txn 1,Tomato Juice
txn 1,Turkey
txn 1,Mineral Water
txn 1,Green Grapes
txn 1,Antioxydant Juice
txn 2,Whole Weat Flour
txn 2,Cottage Cheese
txn 2,Turkey
txn 2,Whole Weat Flour
txn 2,Tomato Juice
txn 2,Low Fat Yogurt
txn 3,Olive Oil
txn 3,Vegetables Mix
txn 3,Antioxydant Juice
txn 4,Tomato Juice
txn 4,Green Tea
txn 5,Shrimp
txn 5,Honey
txn 5,Mineral Water
txn 5,Tomato Juice
txn 6,Salad
txn 6,Olive Oil
txn 6,Salmon
txn 7,Shrimp
txn 7,Almonds
txn 7,Yams
txn 7,Salmon
txn 7,Shrimp
txn 7,Low Fat Yogurt
txn 7,Mineral Water
txn 8,Cottage Cheese
txn 8,Whole Weat Flour
txn 8,Soup
txn 8,French Fries
txn 9,Frozen Smoothie
txn 9,Whole Wheat Pasta
txn 9,Green Tea
txn 10,Salad
txn 10,Avocado
txn 10,Chutney
txn 11,Almonds
txn 11,Frozen Vegetables
txn 11,Frozen Smoothie
txn 11,Green Tea
txn 12,Honey
txn 12,Green Grapes
txn 12,French Fries
txn 12,Low Fat Yogurt
txn 13,Spinach
txn 13,Soup
txn 13,Salad
txn 13,Antioxydant Juice
txn 13,Mineral Water
txn 14,Shrimp
txn 14,French Fries
txn 15,Salmon
txn 15,Chutney
txn 15,Mineral Water
txn 15,Energy Drink
txn 15,Frozen Smoothie
txn 15,Frozen Vegetables
txn 16,Avocado
txn 16,Turkey
txn 16,Mineral Water
txn 16,Shrimp
txn 17,Green Grapes
txn 17,Antioxydant Juice
txn 17,Whole Weat Flour
txn 17,Olive Oil
txn 18,Vegetables Mix
txn 18,French Fries
txn 18,Whole Wheat Pasta
txn 19,Cottage Cheese
txn 19,Burgers
txn 19,Salmon
txn 19,Frozen Smoothie
txn 19,Burgers
txn 20,Yams
txn 20,Low Fat Yogurt
txn 20,Honey
txn 20,Frozen Vegetables
txn 20,Vegetables Mix
txn 20,Low Fat Yogurt
txn 20,Spinach
txn 21,Energy Drink
txn 21,Spinach
txn 21,Energy Drink
txn 22,Low Fat Yogurt
txn 22,Burgers
txn 22,Soup
txn 22,Burgers
txn 22,Soup
txn 22,Vegetables Mix
txn 22,Yams
txn 23,Green Tea
txn 23,Mineral Water
txn 23,Avocado
txn 23,Green Grapes
txn 23,Almonds
txn 23,Chutney
txn 23,Whole Wheat Pasta
txn 24,Energy Drink
txn 24,Spinach
txn 24,Low Fat Yogurt
txn 24,Cottage Cheese
txn 25,Whole Wheat Pasta
txn 26,Chutney
txn 26,Shrimp
txn 26,Almonds
txn 27,Low Fat Yogurt
txn 28,Shrimp
txn 28,Avocado
txn 29,Shrimp
txn 29,Mineral Water
txn 29,Honey
txn 29,Salad
txn 30,Olive Oil
txn 30,Yams
txn 30,Turkey
txn 30,Frozen Vegetables
